bucket,mean_fwd_return,signal,target
0,-0.00011536399751873179,treasury_curve_carry_z,spy_fwd_21d
1,-0.005647255294081676,treasury_curve_carry_z,spy_fwd_21d
2,0.011571855918709049,treasury_curve_carry_z,spy_fwd_21d
3,0.02554989493242702,treasury_curve_carry_z,spy_fwd_21d
4,0.02771047734113404,treasury_curve_carry_z,spy_fwd_21d
0,-0.002573727199182986,treasury_curve_carry_z,dxy_fwd_21d
1,-0.00912941591242448,treasury_curve_carry_z,dxy_fwd_21d
2,-0.007654834234479951,treasury_curve_carry_z,dxy_fwd_21d
3,0.0028060027334015658,treasury_curve_carry_z,dxy_fwd_21d
4,-0.0008888779286714036,treasury_curve_carry_z,dxy_fwd_21d
0,-0.029259793161280207,treasury_curve_carry_z,wti_fwd_21d
1,-0.015237047023156994,treasury_curve_carry_z,wti_fwd_21d
2,0.006525751363440601,treasury_curve_carry_z,wti_fwd_21d
3,0.008663246671260824,treasury_curve_carry_z,wti_fwd_21d
4,-0.018248898191688182,treasury_curve_carry_z,wti_fwd_21d
0,0.04391409154277436,treasury_curve_carry_z,gold_fwd_21d
1,0.035638599631234176,treasury_curve_carry_z,gold_fwd_21d
2,0.03612245659161239,treasury_curve_carry_z,gold_fwd_21d
3,0.03540173462292149,treasury_curve_carry_z,gold_fwd_21d
4,0.04397655531961767,treasury_curve_carry_z,gold_fwd_21d
0,-0.003968299323931968,credit_spread_carry_z,spy_fwd_21d
1,0.004717385661139099,credit_spread_carry_z,spy_fwd_21d
2,0.01458952162934094,credit_spread_carry_z,spy_fwd_21d
3,0.011408400836118333,credit_spread_carry_z,spy_fwd_21d
4,0.0323226000980033,credit_spread_carry_z,spy_fwd_21d
0,0.004931790476939957,credit_spread_carry_z,dxy_fwd_21d
1,-0.004381795455888865,credit_spread_carry_z,dxy_fwd_21d
2,0.0014642922826366767,credit_spread_carry_z,dxy_fwd_21d
3,-0.007458686126606115,credit_spread_carry_z,dxy_fwd_21d
4,-0.011996453718438908,credit_spread_carry_z,dxy_fwd_21d
0,-0.01466139148102355,credit_spread_carry_z,wti_fwd_21d
1,0.0069630624061085234,credit_spread_carry_z,wti_fwd_21d
2,-0.01627303544103527,credit_spread_carry_z,wti_fwd_21d
3,-0.005241151171485788,credit_spread_carry_z,wti_fwd_21d
4,-0.018344224653987874,credit_spread_carry_z,wti_fwd_21d
0,0.010244693003048914,credit_spread_carry_z,gold_fwd_21d
1,0.0610283692002632,credit_spread_carry_z,gold_fwd_21d
2,0.05890183771859024,credit_spread_carry_z,gold_fwd_21d
3,0.027470499550024088,credit_spread_carry_z,gold_fwd_21d
4,0.03740803823623365,credit_spread_carry_z,gold_fwd_21d
0,0.02353305511786046,vol_term_carry_z,spy_fwd_21d
1,0.013649015709956892,vol_term_carry_z,spy_fwd_21d
2,0.005890628594048117,vol_term_carry_z,spy_fwd_21d
3,0.010653072369689208,vol_term_carry_z,spy_fwd_21d
4,0.005343837109115022,vol_term_carry_z,spy_fwd_21d
0,-0.006919312706968979,vol_term_carry_z,dxy_fwd_21d
1,-0.00602808793707675,vol_term_carry_z,dxy_fwd_21d
2,-0.004871011752060644,vol_term_carry_z,dxy_fwd_21d
3,-0.003673221794984777,vol_term_carry_z,dxy_fwd_21d
4,0.004050781649733897,vol_term_carry_z,dxy_fwd_21d
0,-0.03331691565445562,vol_term_carry_z,wti_fwd_21d
1,-0.009063773872473974,vol_term_carry_z,wti_fwd_21d
2,-0.01471386977361828,vol_term_carry_z,wti_fwd_21d
3,0.003995772187125613,vol_term_carry_z,wti_fwd_21d
4,0.0055420467719983,vol_term_carry_z,wti_fwd_21d
0,0.027632732612500793,vol_term_carry_z,gold_fwd_21d
1,0.03387537530512168,vol_term_carry_z,gold_fwd_21d
2,0.04120723116015308,vol_term_carry_z,gold_fwd_21d
3,0.05465755515004631,vol_term_carry_z,gold_fwd_21d
4,0.03768054348033824,vol_term_carry_z,gold_fwd_21d
