usd_rate_quintile,mean_fwd_return,pair
0,0.013721894229303309,AUDUSD=X
1,0.008468317831857915,AUDUSD=X
2,0.0011950472311165394,AUDUSD=X
3,-0.007465742027739082,AUDUSD=X
4,0.00023662498738116135,AUDUSD=X
0,0.0017845883927185427,EURUSD=X
1,0.01640083033146127,EURUSD=X
2,0.008216825755492844,EURUSD=X
3,-0.00846816279418845,EURUSD=X
4,0.0007197261285229742,EURUSD=X
0,0.001723260636704987,GBPUSD=X
1,0.013520005596786882,GBPUSD=X
2,0.0006721367061521832,GBPUSD=X
3,-0.0028834439881093204,GBPUSD=X
4,0.0017329977683846081,GBPUSD=X
0,0.005581603048084859,NZDUSD=X
1,0.007731869985594763,NZDUSD=X
2,-0.0026339967225098983,NZDUSD=X
3,-0.008139782643350817,NZDUSD=X
4,-0.004618682629004062,NZDUSD=X
0,-0.0033211016205251646,USDCAD=X
1,-0.005705470925646761,USDCAD=X
2,-5.2898004554864374e-05,USDCAD=X
3,0.00767350646726625,USDCAD=X
4,0.0035747127384595655,USDCAD=X
0,-0.006011606992723949,USDCHF=X
1,-0.018433267135036818,USDCHF=X
2,-0.004853856615797154,USDCHF=X
3,0.005665086617538209,USDCHF=X
4,-0.003102764458525511,USDCHF=X
0,0.009066306656613978,USDJPY=X
1,-0.009452329465037273,USDJPY=X
2,0.0019344221973477448,USDJPY=X
3,0.007993020526134499,USDJPY=X
4,-0.00020997011344345203,USDJPY=X
0,-0.007060350237610165,USDNOK=X
1,-0.021288757933051454,USDNOK=X
2,-0.004114893335917968,USDNOK=X
3,0.007540222673962193,USDNOK=X
4,0.006094388433776368,USDNOK=X
0,-0.008804019738674049,USDSEK=X
1,-0.025258302114536776,USDSEK=X
2,-0.007289447513983489,USDSEK=X
3,0.008368915262661753,USDSEK=X
4,0.005154220846647818,USDSEK=X
